MOVE,#,R,5
MOVE,#,D,4
TALK,シバ,#よ　またあの時の夢を\n見ておったそうだな\fやはり|運命《さだめ》には　逆えんか...
TALK,リア,\e師匠　#は...
TALK,シバ,リアよ　言わんでもわかっておる\f#は　旅立つのであろう\nいつかはその時が　来るとは思っていた\fしかし　#よ！\nその体でどうやってメフィストと戦う？\fメフィストが　お前にかけた呪いは　転生の類いじゃそれが　どういう意味かわかるか？\f転生とは生まれ変わること\nつまりは　お前が今まで修行で得たものを\n失ったということじゃよ\fリアよ　稽古で剣を合わせている\nお前ならばわかるはず
WAIT,1
TALK,リア,\e...
WAIT,1
TALK,シバ,だが　いい機会かもしれん
DIRECTION,リア,D
TALK,リア,\e師匠！　いい機会とはどういう意味ですか？
TALK,シバ,話を聞く以上\nメフィストは魔導を極めた者に違いない\f対するには　こちらも魔法を身につけるしか\n方法はあるまい\fしかし　魔法は剛の剣を身につけた者にとっては\n正反対の技術ゆえに　両立は困難じゃ\fだが　呪いの影響でその障害もなくなった
TALK,リア,\eってことは　魔法を身につけるのなら\n今がチャンスってことですね！
TALK,シバ,うむ！　そこでじゃ\n西にある【エメリヴ森林】を北に抜けると\n【テヘランの郷】という村がある\fそこに　わしの古い馴染のブレアという\n魔女が住んでおる\fまずは　ブレアを訪ねてみるといいだろう
TALK,リア,\eなるほど！\n確かに魔女さんなら　魔法のことに詳しいですね！\fでも　今のトーマスが一人で【エメリヴ森林】を\n抜けるのは危険です\f私も一緒に行きます！
MOVE,リア,U,1
TALK,シバ,またんか　リア！！
DIRECTION,リア,D
TALK,シバ,それは　わかっておる\fでも　#と一緒に行ってはならん\nこれは　#自身の試練じゃ！\n#が　自分で乗り超えなければならない\n大きな壁じゃよ！\fリアよ　気持ちはわかるが　お前がそばにおっては\n#はお前の力を頼ってしまう\nゆえに　メフィストを倒す力を　身につけることは\nできまい\fしかたがないのじゃ...
TALK,リア,\eそんな...\fでも　これも魔法を身につけるための\n稽古ということですね
TALK,シバ,そういうことじゃな
WAIT,2
TALK,シバ,#よ　少ないがこれは支度金じゃ！\f後　少々古いがこの地図も　あった方が良いじゃろう
MOVE,シバ,U,1,
WAIT,1
MONEY,100
TALK,null,#は　【Mキー】で地図を見れるようになった
MOVE,シバ,D,1
DIRECTION,シバ,U
WAIT,1
MOVE,リア,L,1
TALK,リア,\e#　これを持っていって！\n【エメリヴ森林】の　モンスターを倒すのに役に立つはずよ
DIRECTION,#,R
ITEM,ブロンズソード
TALK,null,#は　【 SPACEキー】で攻撃できるようになった
MOVE,リア,R,1
DIRECTION,リア,L
WAIT,1
TALK,リア,\eあっ！
TALK,シバ,どうしたのじゃ　リア？
DIRECTION,リア,D
TALK,リア,\e考えてみたら\n今の#は見た目は女の子です\n困惑されないように　旅立つ前に名前を変えた方が　いいような気がします
TALK,シバ,確かに名が#では　旅先で不便じゃろうリアの言うとおり　名を変えるのも良いかもしれん
DIRECTION,リア,L
TALK,リア,\eねぇ　#！\n何か気に入った名前ある？
NAME_INPUT
TALK,リア,\e#なんて　いい名前じゃない！
TALK,シバ,うむ！
TALK,リア,\eいってらっしゃい#\fでも　今日から稽古は別々かぁ\fそれも　ちょっと寂しいなぁ
DIRECTION,#,D
TALK,シバ,ブレアによろしくな\fそうだ！　忘れておったわ\fこれを持っていくがよい\nわしが　若い頃に書いた旅の心得じゃ\n旅立つ前に　読んでおくとよいじゃろう
MOVE,シバ,U,1,
ITEM,旅の心得
MOVE,シバ,D,1
DIRECTION,シバ,U




